Element,X,y
inst_79806,101,120
inst_3721,101,60
inst_51478,101,210
inst_87732,101,150
inst_31268,101,60
inst_57271,101,210
inst_6453,101,210
inst_94962,101,180
inst_50389,101,180
inst_103795,101,180
inst_61274,101,60
inst_30195,101,180
inst_27817,101,120
inst_33787,101,180
inst_103190,101,120
inst_2430,101,90
inst_37544,101,180
inst_29250,101,210
inst_64839,101,90
inst_74777,101,120
inst_72096,101,90
inst_10194,101,60
inst_58436,101,180
inst_30415,101,90
inst_14397,101,180
inst_41958,101,120
inst_47431,101,60
inst_15525,101,150
inst_76550,101,210
inst_25606,101,210
inst_67408,101,210
inst_46512,101,210
inst_36652,101,180
inst_101949,101,60
inst_15336,101,60
inst_12676,101,60
inst_72252,101,210
inst_24117,101,120
inst_49397,101,150
inst_57718,101,60
inst_74927,101,210
inst_66664,101,210
inst_34387,101,210
inst_98968,101,150
inst_55943,101,120
inst_44407,101,180
inst_5412,101,210
inst_23563,101,60
inst_93367,101,60
inst_604,101,210
inst_35866,101,60
inst_91511,101,210
inst_65625,101,90
inst_97282,101,180
inst_94662,101,180
inst_39986,101,60
inst_8246,101,120
inst_72916,101,120
inst_35306,101,60
inst_85088,101,150
inst_32269,101,60
inst_59554,101,60
inst_95054,101,180
inst_64898,101,120
inst_79160,101,120
inst_64886,101,90
inst_5573,101,120
inst_29084,101,180
inst_76485,101,120
inst_70799,101,120
inst_31000,101,180
inst_69865,101,60
inst_90938,101,180
inst_84845,101,150
inst_69437,101,120
inst_60706,101,60
inst_86576,101,150
inst_40259,101,180
inst_99789,101,150
inst_91741,101,120
inst_103785,101,180
inst_58918,101,60
inst_103827,101,60
inst_98000,101,180
inst_22110,101,210
inst_101845,101,60
inst_70411,101,180
inst_99216,101,120
inst_31492,101,120
inst_48050,101,60
inst_37471,101,60
inst_36670,101,180
inst_75116,101,210
inst_18873,101,210
inst_87593,101,180
inst_75287,101,210
inst_81988,101,180
inst_87935,101,180
inst_66290,101,90
inst_53798,101,120
inst_49858,101,150
inst_66192,101,180
inst_6505,101,60
inst_6737,101,120
inst_67338,101,90
inst_83387,101,180
inst_74956,101,210
inst_56464,101,180
inst_28686,101,180
inst_47498,101,60
inst_101004,101,60
inst_24408,101,180
inst_26673,101,150
inst_46128,101,120
inst_100407,101,150
inst_83447,101,60
inst_71039,101,120
inst_47319,101,60
inst_20020,101,60
inst_32588,101,180
inst_29719,101,150
inst_13956,101,60
inst_53295,101,120
inst_38729,101,210
inst_31513,101,180
inst_44305,101,210
inst_2173,101,210
inst_85102,101,210
inst_5849,101,180
inst_51689,101,60
inst_99535,101,150
inst_19947,101,210
inst_76770,101,90
inst_2811,101,210
inst_53856,101,120
inst_51105,101,210
inst_9493,101,120
inst_133,103,60
inst_47245,101,210
inst_64739,101,120
inst_83877,101,120
inst_20059,101,210
inst_18435,101,60
inst_3454,101,60
inst_27485,101,210
inst_39316,101,120
inst_46918,101,210
inst_57436,101,180
inst_40050,101,60
inst_10804,101,60
inst_80716,101,210
inst_60636,101,210
inst_84445,101,60
inst_46547,101,210
inst_6607,101,120
inst_63896,101,60
inst_81692,101,60
inst_11539,101,120
inst_63500,101,120
inst_244,101,180
inst_80457,101,150
inst_11133,101,180
inst_53140,101,120
inst_53250,101,120
inst_85262,101,150
inst_36704,101,120
inst_18669,101,180
inst_90223,101,120
inst_85453,101,150
inst_84274,101,60
inst_74596,101,210
inst_60649,101,60
inst_66804,101,120
inst_14728,101,90
inst_96241,101,120
inst_32075,101,210
inst_54089,101,120
inst_19928,101,210
inst_88346,101,120
inst_40315,101,60
inst_20301,101,210
inst_25631,101,60
inst_19707,101,60
inst_89745,101,120
inst_69162,101,180
inst_14294,101,150
inst_84734,101,210
inst_68301,101,120
inst_13802,101,60
inst_72372,101,60
inst_2692,101,210
inst_12424,101,150
inst_85665,101,150
inst_57674,101,180
inst_44557,101,120
inst_81074,101,150
inst_64037,101,120
inst_88807,101,150
inst_40412,101,60
inst_6472,101,180
inst_10844,101,120
inst_89286,101,210
inst_18504,101,120
inst_37769,101,120
inst_7507,101,210
inst_41293,101,210
inst_14218,101,60
inst_79879,101,120
inst_34390,101,180
inst_31902,101,120
inst_95501,101,150
